#,Patient Code,PAT id(SSAM),Accession,Name,Species-group,Species,Group,Subtype,Sampling Year,Country,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
1,,,AB098330,UG031,PLV,HIV-1,M,A1,-,UG,,,,HIV-1
2,,,AB098331,UG031,PLV,HIV-1,M,A1,-,UG,,,,HIV-1
3,,,AB098332,UG029,PLV,HIV-1,M,A1,1992,UG,,,,HIV-1
4,,,AB098333,UG029,PLV,HIV-1,M,A1,1992,UG,,,,HIV-1
5,,,AB253421,92RW008,PLV,HIV-1,M,A1,1992,RW,,,,HIV-1
6,,,AB253422,92RW008,PLV,HIV-1,M,A1,1992,RW,,,,HIV-1
7,,,AB253428,92UG037_A35,PLV,HIV-1,M,A1,1992,UG,,,,HIV-1
8,,,AB253429,92UG037_A40,PLV,HIV-1,M,A1,1992,UG,,,,HIV-1
9,,,AB287376,92RW025A,PLV,HIV-1,M,A1,1992,RW,,,,HIV-1
10,,,AB287377,92RW025A,PLV,HIV-1,M,A1,1992,RW,,,,HIV-1
11,,,AB287378,93RW037A,PLV,HIV-1,M,A1,1993,RW,,,,HIV-1
12,,,AB287379,93RW037A,PLV,HIV-1,M,A1,1993,RW,,,,HIV-1
13,,,AB485632,UG275,PLV,HIV-1,M,A1,-,UG,,,,HIV-1
14,,,AF004885,Q23_17,PLV,HIV-1,M,A1,1994,KE,,,,HIV-1
15,,,AF069669,SE8538,PLV,HIV-1,M,A1,1995,SE,,,,HIV-1
16,,,AF069670,SE7253,PLV,HIV-1,M,A1,1994,SE,,,,HIV-1
17,,,AF069671,SE7535,PLV,HIV-1,M,A1,1994,SE,,,,HIV-1
18,,,AF069673,SE8891,PLV,HIV-1,M,A1,1995,SE,,,,HIV-1
19,,,AF107771,UGSE8131,PLV,HIV-1,M,A1,1995,SE,,,,HIV-1
20,,,AF193275,97BL006,PLV,HIV-1,M,A6,1997,BY,,,,HIV-1
21,,,AF286237,94CY017_41,PLV,HIV-1,M,A2,1994,CY,,,,HIV-1
22,,,AF286238,97CDKTB48,PLV,HIV-1,M,A2,1997,CD,,,,HIV-1
23,,,AF361872,97TZ02,PLV,HIV-1,M,A1,1997,TZ,,,,HIV-1
24,,,AF361873,97TZ03,PLV,HIV-1,M,A1,1997,TZ,,,,HIV-1
25,,,AF413987,98UA0116,PLV,HIV-1,M,A6,2000,UA,,,,HIV-1
26,,,AF457052,KER2008,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
27,,,AF457053,KER2009,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
28,,,AF457055,KER2012,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
29,,,AF457063,KNH1088,PLV,HIV-1,M,A1,1999,KE,,,,HIV-1
30,,,AF457065,KNH1135,PLV,HIV-1,M,A1,1999,KE,,,,HIV-1
31,,,AF457066,KNH1144,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
32,,,AF457067,KNH1199,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
33,,,AF457068,KNH1207,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
34,,,AF457069,KNH1209,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
35,,,AF457070,KNH1211,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
36,,,AF457075,KSM4021,PLV,HIV-1,M,A1,1999,KE,,,,HIV-1
37,,,AF457077,KSM4024,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
38,,,AF457079,KSM4030,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
39,,,AF457080,MSA4069,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
40,,,AF457081,MSA4070,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
41,,,AF457083,MSA4072,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
42,,,AF457084,MSA4076,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
