sequenceID	species	group	subtype	Isolate	year	country	host	host_common_name	pubmedID
KU749402	HIV-1	M	A1	DEMA112UA014	2012	Ukraine	Homo sapiens	human	NULL
AF033819	HIV-1	M	B	HXB2	1983	France	Homo sapiens	human	NULL
JN188292	HIV-1	M	C	pZAC	1981	South Africa	Homo sapiens	human	23170185
AB485648	HIV-1	M	D	SE365	1990	Senegal	Homo sapiens	human	
EF036536	HIV-1	M	CRF01	Fj061	2006	China	Homo sapiens	human	17451347
AB049811	HIV-1	M	CRF02	A3	1997	Ghana	Homo sapiens	human	1375062
KC503852	HIV-1	M	CRF07	pXJDC6291-2-6	2005	China	Homo sapiens	human	24324545
AF385935	HIV-1	M	CRF12	URTR35	1999	Uruguay	Homo sapiens	human	15585101
KU168275	HIV-1	M	F1	LA21LeAn	2003		Homo sapiens	human	26699702
KU168300	HIV-1	M	G	LA57LmNe	2008	Guinea-Bissau	Homo sapiens	human	26699702
KU168273	HIV-1	M	H	LA19KoSa	2004	Democratic Republic of the Congo	Homo sapiens	human	26699702
AJ006022	HIV-1	N		YBF30	1995	Cameroon	Homo sapiens	human	9734396
KU168292	HIV-1	O		LA49RBF189	2005	Cameroon	Homo sapiens	human	26699702
GU111555	HIV-1	P		RBF168	2009	France	Homo sapiens	human	NULL
JN835461	SIVcpz	M		SIVcpzMB897		Cameroon	Chimpanzee	chimpanzee	22505456
JN835460	SIVcpz	N		SIVcpzEK505.c2		Cameroon	Chimpanzee	chimpanzee	22505456
EF394356	SIVcpz	pts		SIVcpzTAN1		Tanzania	Chimpanzee	chimpanzee	17494082
KP004991	SIVgor	O		SIVgor-BQID2	2012	Cameroon	Gorilla gorilla	gorilla	25733890
KP004990	SIVgor	P		SIVgor-BPID15	2013	Cameroon	Gorilla gorilla	gorilla	25733890
